[Name]
Heat Transfer

[Data]
"Accumulated Timestep","RMS H-Energy"
817,1.75280809e-06
818,1.77910044e-06
819,1.80401105e-06
820,1.82903273e-06
821,1.84787632e-06
822,1.87195678e-06
823,1.89443085e-06
824,1.91588538e-06
825,1.94237714e-06
826,1.96277165e-06
827,1.98649559e-06
828,2.01157309e-06
829,2.03350760e-06
830,2.05675110e-06
831,2.07348785e-06
832,2.09935274e-06
833,2.10875487e-06
834,2.12689656e-06
835,2.13996304e-06
836,2.15965906e-06
837,2.17596721e-06
838,2.19381513e-06
839,2.20819925e-06
840,2.22934864e-06
841,2.24903442e-06
842,2.27055989e-06
843,2.28293493e-06
844,2.29704256e-06
845,2.31406807e-06
846,2.32400907e-06
847,2.33126616e-06
848,2.33590163e-06
849,2.33797164e-06
850,2.33655351e-06
851,2.33594960e-06
852,2.33590731e-06
853,2.33453648e-06
854,2.33205469e-06
855,2.32160664e-06
856,2.31437548e-06
857,2.30866453e-06
858,2.29539296e-06
859,2.28746853e-06
860,2.27402484e-06
861,2.26383168e-06
862,2.25337908e-06
863,2.24254404e-06
864,2.22965627e-06
865,2.21135042e-06
866,2.19061644e-06
867,2.16828539e-06
868,2.15854584e-06
869,2.14116017e-06
870,2.12105965e-06
871,2.09724499e-06
872,2.07620315e-06
873,2.05621382e-06
874,2.03908758e-06
875,2.02105571e-06
876,2.00981208e-06
877,1.98706289e-06
878,1.97139047e-06
879,1.96098631e-06
880,1.94716040e-06
881,1.93778851e-06
882,1.91948516e-06
883,1.90603294e-06
884,1.89635091e-06
885,1.88050262e-06
886,1.86465400e-06
887,1.85126294e-06
888,1.84640487e-06
889,1.83261227e-06
890,1.81641167e-06
891,1.79961125e-06
892,1.78510709e-06
893,1.77131074e-06
894,1.76077060e-06
895,1.75241416e-06
896,1.74042145e-06
897,1.73096396e-06
898,1.71816066e-06
899,1.71206636e-06
900,1.70537521e-06
901,1.69857640e-06
902,1.69225405e-06
903,1.69145426e-06
904,1.68867768e-06
905,1.69026112e-06
906,1.68954227e-06
907,1.69532314e-06
908,1.69767588e-06
909,1.70285875e-06
910,1.70631915e-06
911,1.69999214e-06
912,1.69678697e-06
913,1.70306748e-06
914,1.70645751e-06
915,1.70910778e-06
916,1.70973408e-06
917,1.70492046e-06
918,1.70779151e-06
919,1.70749183e-06
920,1.70944725e-06
921,1.70232818e-06
922,1.70330372e-06
923,1.70313672e-06
924,1.70367457e-06
925,1.70213139e-06
926,1.70057615e-06
927,1.70232374e-06
928,1.69541045e-06
929,1.69321186e-06
930,1.68554141e-06
931,1.68416568e-06
932,1.67647488e-06
933,1.66540042e-06
934,1.66972802e-06
935,1.66105281e-06
936,1.65638164e-06
937,1.64390440e-06
938,1.64261712e-06
939,1.63710683e-06
940,1.62827837e-06
941,1.62124093e-06
942,1.60870547e-06
943,1.60198783e-06
944,1.59809997e-06
945,1.58891953e-06
946,1.57753436e-06
947,1.56478370e-06
948,1.56101976e-06
949,1.55206544e-06
950,1.54100780e-06
951,1.53627991e-06
952,1.52473820e-06
953,1.51461018e-06
954,1.50959875e-06
955,1.50177118e-06
956,1.49928815e-06
957,1.49109474e-06
958,1.48094989e-06
959,1.47336925e-06
960,1.46978277e-06
961,1.46265791e-06
962,1.45758054e-06
963,1.45302579e-06
964,1.44741614e-06
965,1.44099272e-06
966,1.43120678e-06
967,1.43385250e-06
968,1.42592864e-06
969,1.42318015e-06
970,1.42049305e-06
971,1.40786494e-06
972,1.40144925e-06
973,1.39809708e-06
974,1.39496046e-06
975,1.39652025e-06
976,1.39152473e-06
977,1.39246970e-06
978,1.39867700e-06
979,1.39000997e-06
980,1.39149438e-06
981,1.39244696e-06
982,1.39255178e-06
983,1.39326880e-06
984,1.39657948e-06
985,1.39695794e-06
986,1.39797578e-06
987,1.40239536e-06
988,1.40189775e-06
989,1.40898851e-06
990,1.40691054e-06
991,1.40730049e-06
992,1.41055659e-06
993,1.40838142e-06
994,1.41566397e-06
995,1.41261376e-06
996,1.40518534e-06
997,1.40799705e-06
998,1.40887755e-06
999,1.40950192e-06
1000,1.40730663e-06
1001,1.40685233e-06
1002,1.41607984e-06
1003,1.41500777e-06
1004,1.41570717e-06
1005,1.42173894e-06
1006,1.42857425e-06
1007,1.42974432e-06
1008,1.42982628e-06
1009,1.43606746e-06
1010,1.43907153e-06
1011,1.44442186e-06
1012,1.44398552e-06
1013,1.44822536e-06
1014,1.44170656e-06
1015,1.44253704e-06
1016,1.44841920e-06
1017,1.45018612e-06
1018,1.44328430e-06
1019,1.44346427e-06
1020,1.44541343e-06
1021,1.44449598e-06
1022,1.44126238e-06
1023,1.44587841e-06
1024,1.43542570e-06
1025,1.43482339e-06
1026,1.43401405e-06
1027,1.43106854e-06
1028,1.42646081e-06
1029,1.42047452e-06
1030,1.41444673e-06
1031,1.41387477e-06
1032,1.40588384e-06
1033,1.40137797e-06
1034,1.40075269e-06
1035,1.39447172e-06
1036,1.39005090e-06
1037,1.38741245e-06
1038,1.38155258e-06
1039,1.38721998e-06
1040,1.38235634e-06
1041,1.37133600e-06
1042,1.35942889e-06
1043,1.35453092e-06
1044,1.35606945e-06
1045,1.35170239e-06
1046,1.35383732e-06
1047,1.34303150e-06
1048,1.33870367e-06
1049,1.33654373e-06
1050,1.33719755e-06
1051,1.33476760e-06
1052,1.32593300e-06
1053,1.32697880e-06
1054,1.32473258e-06
1055,1.32276000e-06
1056,1.31250135e-06
1057,1.31195804e-06
1058,1.31094248e-06
1059,1.31068543e-06
1060,1.30928129e-06
1061,1.31146726e-06
1062,1.31354830e-06
1063,1.31962554e-06
1064,1.32029140e-06
1065,1.32063406e-06
1066,1.32704633e-06
1067,1.32566663e-06
1068,1.33033495e-06
1069,1.33049559e-06
1070,1.33357901e-06
1071,1.33246249e-06
1072,1.33022286e-06
1073,1.33030073e-06
1074,1.33432343e-06
1075,1.33985804e-06
1076,1.33475601e-06
1077,1.33434025e-06
1078,1.33261972e-06
1079,1.33894605e-06
1080,1.33820367e-06
1081,1.33551941e-06
1082,1.34019183e-06
1083,1.33911021e-06
1084,1.34443906e-06
1085,1.34114794e-06
1086,1.34798404e-06
1087,1.34648803e-06
1088,1.34364393e-06
1089,1.34853678e-06
1090,1.34624690e-06
1091,1.34597803e-06
1092,1.34657330e-06
1093,1.34836762e-06
1094,1.34588663e-06
1095,1.34852576e-06
1096,1.34729464e-06
1097,1.34182051e-06
1098,1.34050742e-06
1099,1.33804099e-06
1100,1.34166032e-06
1101,1.33514391e-06
1102,1.33502942e-06
1103,1.33141737e-06
1104,1.33080835e-06
1105,1.32720561e-06
1106,1.32273647e-06
1107,1.31844047e-06
1108,1.31406216e-06
1109,1.30902185e-06
1110,1.31916227e-06
1111,1.31454908e-06
1112,1.30840601e-06
1113,1.30149556e-06
1114,1.29974308e-06
1115,1.30362730e-06
1116,1.29531418e-06
1117,1.29567547e-06
1118,1.29349144e-06
1119,1.29284729e-06
1120,1.28820693e-06
1121,1.28194301e-06
1122,1.28012994e-06
1123,1.27659337e-06
1124,1.27546230e-06
1125,1.26976261e-06
1126,1.27305839e-06
1127,1.26916814e-06
1128,1.26689815e-06
1129,1.26152543e-06
1130,1.25954648e-06
1131,1.26320538e-06
1132,1.26157556e-06
1133,1.26057989e-06
1134,1.25664201e-06
1135,1.25530494e-06
1136,1.26286466e-06
1137,1.26345492e-06
1138,1.26412056e-06
1139,1.27620683e-06
1140,1.26639918e-06
1141,1.27397141e-06
1142,1.27930798e-06
1143,1.28312217e-06
1144,1.28818465e-06
1145,1.28810325e-06
1146,1.28128261e-06
1147,1.28803197e-06
1148,1.29434397e-06
1149,1.29538876e-06
1150,1.29731495e-06
1151,1.29722503e-06
1152,1.29441241e-06
1153,1.29362434e-06
1154,1.30297417e-06
1155,1.29851094e-06
1156,1.30059311e-06
1157,1.30275919e-06
1158,1.30558624e-06
1159,1.30978344e-06
1160,1.31027571e-06
1161,1.30781973e-06
1162,1.30679769e-06
1163,1.31123670e-06
1164,1.31876561e-06
1165,1.31999332e-06
1166,1.31645925e-06
1167,1.32143941e-06
1168,1.32783362e-06
1169,1.32354307e-06
1170,1.32973548e-06
1171,1.32906712e-06
1172,1.32856280e-06
1173,1.33118431e-06
1174,1.32912135e-06
1175,1.33020205e-06
1176,1.33195749e-06
1177,1.32614582e-06
1178,1.32965863e-06
1179,1.33397566e-06
1180,1.33106380e-06
1181,1.33851211e-06
1182,1.33184039e-06
1183,1.32503214e-06
1184,1.32239643e-06
1185,1.32095909e-06
1186,1.31629395e-06
1187,1.31481204e-06
1188,1.30869103e-06
1189,1.30579690e-06
1190,1.30670503e-06
1191,1.30194564e-06
1192,1.29899649e-06
1193,1.30047249e-06
1194,1.29985938e-06
1195,1.29017963e-06
1196,1.29489024e-06
1197,1.28797922e-06
1198,1.28541603e-06
1199,1.28617694e-06
1200,1.27787712e-06
1201,1.27938119e-06
1202,1.27545502e-06
1203,1.26928626e-06
1204,1.27242026e-06
1205,1.26786654e-06
1206,1.26567954e-06
1207,1.26769419e-06
1208,1.26254577e-06
1209,1.26801808e-06
1210,1.26753832e-06
1211,1.26511418e-06
1212,1.26480768e-06
1213,1.26736347e-06
1214,1.27101987e-06
1215,1.27124406e-06
1216,1.28184467e-06
1217,1.28313218e-06
1218,1.28158206e-06
1219,1.29422369e-06
1220,1.29961268e-06
1221,1.30614501e-06
1222,1.30821559e-06
1223,1.30945170e-06
1224,1.31530487e-06
1225,1.32116043e-06
1226,1.32384810e-06
1227,1.32647074e-06
1228,1.32765967e-06
1229,1.32739694e-06
1230,1.33336016e-06
1231,1.33376159e-06
1232,1.33469371e-06
1233,1.33780952e-06
