[Name]
Plot Monitor 1

[Data]
"Accumulated Timestep","U-Mom Boundary Flow on INLET"
721,6.46730125e+05
722,6.46730125e+05
723,6.46730125e+05
724,6.46730125e+05
725,6.46730062e+05
726,6.46730125e+05
727,6.46730125e+05
728,6.46730125e+05
729,6.46730125e+05
730,6.46730125e+05
731,6.46730062e+05
732,6.46730125e+05
733,6.46730125e+05
734,6.46730000e+05
735,6.46730125e+05
736,6.46730125e+05
737,6.46730125e+05
738,6.46730125e+05
739,6.46730125e+05
740,6.46730125e+05
741,6.46730125e+05
742,6.46730062e+05
743,6.46730062e+05
744,6.46730000e+05
745,6.46730000e+05
746,6.46730000e+05
747,6.46730062e+05
748,6.46730062e+05
749,6.46730125e+05
750,6.46730125e+05
751,6.46730125e+05
752,6.46730125e+05
753,6.46730125e+05
754,6.46730125e+05
755,6.46730125e+05
756,6.46730125e+05
757,6.46730125e+05
758,6.46730125e+05
759,6.46730125e+05
760,6.46730125e+05
761,6.46730125e+05
762,6.46730125e+05
763,6.46730125e+05
764,6.46730125e+05
765,6.46730062e+05
766,6.46730000e+05
767,6.46730000e+05
768,6.46730000e+05
769,6.46730000e+05
770,6.46730000e+05
771,6.46730062e+05
772,6.46730125e+05
773,6.46730125e+05
774,6.46730125e+05
775,6.46730125e+05
776,6.46730062e+05
777,6.46730125e+05
778,6.46730062e+05
779,6.46730000e+05
780,6.46730000e+05
781,6.46730125e+05
782,6.46730125e+05
783,6.46730125e+05
784,6.46730125e+05
785,6.46730125e+05
786,6.46730125e+05
787,6.46730062e+05
788,6.46730125e+05
789,6.46730125e+05
790,6.46730125e+05
791,6.46730125e+05
792,6.46730125e+05
793,6.46730125e+05
794,6.46730125e+05
795,6.46730125e+05
796,6.46730125e+05
797,6.46730125e+05
798,6.46730125e+05
799,6.46730125e+05
800,6.46730125e+05
801,6.46730125e+05
802,6.46730125e+05
803,6.46730125e+05
804,6.46730125e+05
805,6.46730125e+05
806,6.46730125e+05
807,6.46730125e+05
808,6.46730125e+05
809,6.46730125e+05
810,6.46730125e+05
811,6.46730125e+05
812,6.46730125e+05
813,6.46730125e+05
814,6.46730125e+05
815,6.46730125e+05
816,6.46730125e+05
817,6.46730062e+05
818,6.46730062e+05
819,6.46730062e+05
820,6.46730062e+05
821,6.46730062e+05
822,6.46730125e+05
823,6.46730062e+05
824,6.46730125e+05
825,6.46730062e+05
826,6.46730062e+05
827,6.46730062e+05
828,6.46730062e+05
829,6.46730062e+05
830,6.46730125e+05
831,6.46730062e+05
832,6.46730062e+05
833,6.46730062e+05
834,6.46730062e+05
835,6.46730125e+05
836,6.46730125e+05
837,6.46730125e+05
838,6.46730062e+05
839,6.46730062e+05
840,6.46730062e+05
841,6.46730062e+05
842,6.46730062e+05
843,6.46730125e+05
844,6.46730062e+05
845,6.46730125e+05
846,6.46730125e+05
847,6.46730062e+05
848,6.46730062e+05
849,6.46730062e+05
850,6.46730125e+05
851,6.46730062e+05
852,6.46730125e+05
853,6.46730125e+05
854,6.46730125e+05
855,6.46730062e+05
856,6.46730062e+05
857,6.46730062e+05
858,6.46730125e+05
859,6.46730062e+05
860,6.46730062e+05
861,6.46730062e+05
862,6.46730125e+05
863,6.46730062e+05
864,6.46730125e+05
865,6.46730125e+05
866,6.46730062e+05
867,6.46730062e+05
868,6.46730125e+05
869,6.46730062e+05
870,6.46730062e+05
871,6.46730000e+05
872,6.46730062e+05
873,6.46730062e+05
874,6.46730062e+05
875,6.46730062e+05
876,6.46730125e+05
877,6.46730125e+05
878,6.46730062e+05
879,6.46730062e+05
880,6.46730062e+05
881,6.46730062e+05
882,6.46730062e+05
883,6.46730125e+05
884,6.46730062e+05
885,6.46730062e+05
886,6.46730125e+05
887,6.46730062e+05
888,6.46730062e+05
889,6.46730062e+05
890,6.46730062e+05
891,6.46730125e+05
892,6.46730125e+05
893,6.46730062e+05
894,6.46730125e+05
895,6.46730125e+05
896,6.46730125e+05
897,6.46730062e+05
898,6.46730125e+05
899,6.46730062e+05
900,6.46730062e+05
901,6.46730125e+05
902,6.46730062e+05
903,6.46730062e+05
904,6.46730062e+05
905,6.46730062e+05
906,6.46730062e+05
907,6.46730062e+05
908,6.46730062e+05
909,6.46730062e+05
910,6.46730062e+05
911,6.46730062e+05
912,6.46730062e+05
913,6.46730062e+05
914,6.46730062e+05
915,6.46730000e+05
916,6.46730125e+05
917,6.46730062e+05
918,6.46730062e+05
919,6.46730062e+05
920,6.46730062e+05
921,6.46730062e+05
922,6.46730062e+05
923,6.46730062e+05
924,6.46730062e+05
925,6.46730062e+05
926,6.46730062e+05
927,6.46730125e+05
928,6.46730062e+05
929,6.46730062e+05
930,6.46730062e+05
931,6.46730062e+05
932,6.46730062e+05
933,6.46730062e+05
934,6.46730062e+05
935,6.46730062e+05
936,6.46730062e+05
937,6.46730062e+05
938,6.46730062e+05
939,6.46730125e+05
940,6.46730062e+05
941,6.46730062e+05
942,6.46730125e+05
943,6.46730125e+05
944,6.46730062e+05
945,6.46730062e+05
946,6.46730062e+05
947,6.46730062e+05
948,6.46730062e+05
949,6.46730062e+05
950,6.46730062e+05
951,6.46730062e+05
952,6.46730125e+05
953,6.46730062e+05
954,6.46730125e+05
955,6.46730125e+05
956,6.46730062e+05
957,6.46730125e+05
958,6.46730062e+05
959,6.46730125e+05
960,6.46730062e+05
961,6.46730062e+05
962,6.46730062e+05
963,6.46730062e+05
964,6.46730062e+05
965,6.46730062e+05
966,6.46730125e+05
967,6.46730125e+05
968,6.46730000e+05
969,6.46730062e+05
970,6.46730125e+05
971,6.46730062e+05
972,6.46730125e+05
973,6.46730062e+05
974,6.46730125e+05
975,6.46730062e+05
976,6.46730125e+05
977,6.46730062e+05
978,6.46730062e+05
979,6.46730062e+05
980,6.46730125e+05
981,6.46730062e+05
982,6.46730062e+05
983,6.46730062e+05
984,6.46730125e+05
985,6.46730125e+05
986,6.46730062e+05
987,6.46730062e+05
988,6.46730000e+05
989,6.46730062e+05
990,6.46730125e+05
991,6.46730062e+05
992,6.46730125e+05
993,6.46730062e+05
994,6.46730062e+05
995,6.46730125e+05
996,6.46730062e+05
997,6.46730062e+05
998,6.46730062e+05
999,6.46730062e+05
1000,6.46730062e+05
1001,6.46730125e+05
1002,6.46730062e+05
1003,6.46730062e+05
1004,6.46730125e+05
1005,6.46730125e+05
1006,6.46730125e+05
1007,6.46730125e+05
1008,6.46730125e+05
1009,6.46730125e+05
1010,6.46730125e+05
1011,6.46730125e+05
1012,6.46730125e+05
1013,6.46730125e+05
1014,6.46730125e+05
1015,6.46730062e+05
1016,6.46730125e+05
1017,6.46730062e+05
1018,6.46730062e+05
1019,6.46730125e+05
1020,6.46730062e+05
1021,6.46730125e+05
1022,6.46730125e+05
1023,6.46730125e+05
1024,6.46730125e+05
1025,6.46730062e+05
1026,6.46730062e+05
1027,6.46730062e+05
1028,6.46730062e+05
1029,6.46730062e+05
1030,6.46730062e+05
1031,6.46730125e+05
1032,6.46730125e+05
1033,6.46730062e+05
1034,6.46730062e+05
1035,6.46730062e+05
1036,6.46730125e+05
1037,6.46730062e+05
1038,6.46730062e+05
1039,6.46730062e+05
1040,6.46730062e+05
1041,6.46730125e+05
1042,6.46730125e+05
1043,6.46730125e+05
1044,6.46730125e+05
1045,6.46730125e+05
1046,6.46730125e+05
1047,6.46730125e+05
1048,6.46730125e+05
1049,6.46730125e+05
1050,6.46730125e+05
1051,6.46730125e+05
1052,6.46730125e+05
1053,6.46730125e+05
1054,6.46730125e+05
1055,6.46730125e+05
1056,6.46730125e+05
1057,6.46730125e+05
1058,6.46730125e+05
1059,6.46730125e+05
1060,6.46730125e+05
1061,6.46730125e+05
1062,6.46730125e+05
1063,6.46730125e+05
1064,6.46730125e+05
1065,6.46730125e+05
1066,6.46730125e+05
1067,6.46730125e+05
1068,6.46730125e+05
1069,6.46730125e+05
1070,6.46730125e+05
1071,6.46730125e+05
1072,6.46730125e+05
1073,6.46730125e+05
1074,6.46730125e+05
1075,6.46730125e+05
1076,6.46730125e+05
1077,6.46730125e+05
1078,6.46730125e+05
1079,6.46730125e+05
1080,6.46730125e+05
1081,6.46730125e+05
1082,6.46730125e+05
1083,6.46730125e+05
1084,6.46730125e+05
1085,6.46730125e+05
1086,6.46730125e+05
1087,6.46730125e+05
1088,6.46730125e+05
1089,6.46730125e+05
1090,6.46730125e+05
1091,6.46730125e+05
1092,6.46730125e+05
1093,6.46730125e+05
1094,6.46730125e+05
1095,6.46730125e+05
1096,6.46730125e+05
1097,6.46730062e+05
1098,6.46730125e+05
1099,6.46730125e+05
1100,6.46730125e+05
1101,6.46730125e+05
1102,6.46730125e+05
1103,6.46730125e+05
1104,6.46730125e+05
1105,6.46730125e+05
1106,6.46730125e+05
1107,6.46730125e+05
1108,6.46730125e+05
1109,6.46730125e+05
1110,6.46730125e+05
1111,6.46730062e+05
1112,6.46730062e+05
1113,6.46730062e+05
1114,6.46730062e+05
1115,6.46730125e+05
1116,6.46730062e+05
1117,6.46730062e+05
1118,6.46730062e+05
1119,6.46730000e+05
1120,6.46730062e+05
1121,6.46730062e+05
1122,6.46730062e+05
1123,6.46730062e+05
1124,6.46730062e+05
1125,6.46730062e+05
1126,6.46730062e+05
1127,6.46730062e+05
1128,6.46730062e+05
1129,6.46730062e+05
1130,6.46730000e+05
1131,6.46730062e+05
1132,6.46730125e+05
1133,6.46730062e+05
1134,6.46730125e+05
1135,6.46730062e+05
1136,6.46730062e+05
1137,6.46730125e+05
1138,6.46730125e+05
1139,6.46730125e+05
1140,6.46730062e+05
1141,6.46730062e+05
1142,6.46730125e+05
1143,6.46730062e+05
1144,6.46730062e+05
1145,6.46730062e+05
1146,6.46730062e+05
1147,6.46730062e+05
1148,6.46730062e+05
1149,6.46730062e+05
1150,6.46730125e+05
1151,6.46730062e+05
1152,6.46730125e+05
1153,6.46730062e+05
1154,6.46730062e+05
1155,6.46730125e+05
1156,6.46730062e+05
1157,6.46730125e+05
1158,6.46730125e+05
1159,6.46730125e+05
1160,6.46730125e+05
1161,6.46730125e+05
1162,6.46730125e+05
1163,6.46730125e+05
1164,6.46730125e+05
1165,6.46730125e+05
1166,6.46730125e+05
1167,6.46730125e+05
1168,6.46730125e+05
1169,6.46730125e+05
1170,6.46730125e+05
1171,6.46730125e+05
1172,6.46730125e+05
1173,6.46730125e+05
1174,6.46730062e+05
1175,6.46730125e+05
1176,6.46730125e+05
1177,6.46730125e+05
1178,6.46730125e+05
1179,6.46730125e+05
1180,6.46730125e+05
1181,6.46730125e+05
1182,6.46730125e+05
1183,6.46730125e+05
1184,6.46730125e+05
1185,6.46730125e+05
1186,6.46730125e+05
1187,6.46730125e+05
1188,6.46730125e+05
1189,6.46730125e+05
1190,6.46730125e+05
1191,6.46730125e+05
1192,6.46730125e+05
1193,6.46730125e+05
1194,6.46730125e+05
1195,6.46730125e+05
1196,6.46730125e+05
1197,6.46730125e+05
1198,6.46730125e+05
1199,6.46730125e+05
1200,6.46730125e+05
1201,6.46730062e+05
1202,6.46730062e+05
1203,6.46730062e+05
1204,6.46730125e+05
1205,6.46730125e+05
1206,6.46730062e+05
1207,6.46730062e+05
1208,6.46730062e+05
1209,6.46730125e+05
1210,6.46730125e+05
1211,6.46730062e+05
1212,6.46730062e+05
1213,6.46730125e+05
1214,6.46730062e+05
1215,6.46730062e+05
1216,6.46730062e+05
1217,6.46730125e+05
1218,6.46730062e+05
1219,6.46730062e+05
1220,6.46730062e+05
1221,6.46730125e+05
1222,6.46730062e+05
1223,6.46730062e+05
1224,6.46730125e+05
1225,6.46730125e+05
1226,6.46730125e+05
1227,6.46730062e+05
1228,6.46730125e+05
1229,6.46730062e+05
