[Name]
TurbKE and TurbFreq Quantities

[Data]
"Accumulated Timestep","RMS K-TurbKE","RMS O-TurbFreq"
462,2.01721514e-06,1.98675639e-06
463,1.48838001e-06,2.51008282e-06
464,1.27259796e-06,2.27216037e-06
465,1.56375006e-06,2.10685175e-06
466,1.67470785e-06,2.03516515e-06
467,1.56448732e-06,1.96555175e-06
468,1.62430842e-06,1.98346538e-06
469,1.72678949e-06,2.10449161e-06
470,1.83828024e-06,2.31346212e-06
471,1.94153176e-06,2.46704576e-06
472,2.04027629e-06,2.57718693e-06
473,2.13187582e-06,2.52040059e-06
474,2.16601006e-06,2.21722712e-06
475,2.11326915e-06,1.38971018e-06
476,1.96010569e-06,3.71352911e-07
477,1.78915491e-06,1.70876876e-06
478,1.80653740e-06,3.62972810e-06
479,2.32801631e-06,5.23293374e-06
480,3.04006426e-06,6.03327817e-06
481,3.49286529e-06,5.72792624e-06
482,3.58937632e-06,4.53275015e-06
483,3.34652145e-06,2.71086969e-06
484,2.86809745e-06,9.63640105e-07
485,2.34507274e-06,1.69987550e-06
486,1.73811077e-06,2.69523321e-06
487,1.39336316e-06,2.56066255e-06
488,1.38281075e-06,2.20403422e-06
489,1.54171903e-06,2.10875237e-06
490,1.77152447e-06,2.00495288e-06
491,1.61868604e-06,1.97193071e-06
492,1.71915769e-06,2.05099150e-06
493,1.82257861e-06,2.20806692e-06
494,1.93241681e-06,2.44546868e-06
495,2.02770752e-06,2.58360433e-06
496,2.13132626e-06,2.62578646e-06
497,2.20683683e-06,2.47345861e-06
498,2.19956542e-06,1.84160103e-06
499,2.08730489e-06,8.48246941e-07
500,1.92434641e-06,9.26016810e-07
501,1.79078097e-06,2.88428805e-06
502,2.13608132e-06,4.77101912e-06
503,2.81801363e-06,6.00295061e-06
504,3.43976012e-06,6.17932710e-06
505,3.70678390e-06,5.23668177e-06
506,3.58486341e-06,3.55995257e-06
507,3.17078229e-06,1.68529834e-06
508,2.62499384e-06,1.23451173e-06
509,2.02169008e-06,2.68489975e-06
510,1.54175984e-06,2.84959651e-06
511,1.36115318e-06,2.35318134e-06
512,1.75257185e-06,2.17691127e-06
513,1.70282487e-06,2.07865105e-06
514,1.64402775e-06,1.97272516e-06
515,1.70396891e-06,1.99064857e-06
516,1.80172515e-06,2.13769022e-06
517,1.91277240e-06,2.35347852e-06
518,2.01679904e-06,2.60101160e-06
519,2.12735131e-06,2.68272152e-06
520,2.22704080e-06,2.60776119e-06
521,2.26128736e-06,2.20573406e-06
522,2.20174161e-06,1.39856752e-06
523,2.05355946e-06,3.72319192e-07
524,1.87359115e-06,2.11151928e-06
525,1.97385179e-06,4.17643287e-06
526,2.58632940e-06,5.78549498e-06
527,3.30771400e-06,6.39126119e-06
528,3.72429099e-06,5.88089779e-06
529,3.74856313e-06,4.38810139e-06
530,3.42419503e-06,2.42267583e-06
531,2.88560295e-06,9.11722225e-07
532,2.31371951e-06,2.44777220e-06
533,1.70765759e-06,3.04730520e-06
534,1.43113982e-06,2.62376034e-06
535,1.52284520e-06,2.23223014e-06
536,1.62538379e-06,2.15887985e-06
537,1.79509254e-06,2.01665989e-06
538,1.68739939e-06,1.97521763e-06
539,1.78226742e-06,2.08306528e-06
540,1.88899730e-06,2.27050782e-06
541,1.99988926e-06,2.50577250e-06
542,2.10506460e-06,2.72208536e-06
543,2.21900973e-06,2.74089871e-06
544,2.29111106e-06,2.47736148e-06
545,2.27120586e-06,1.75108005e-06
546,2.14621468e-06,5.46833462e-07
547,1.97585609e-06,1.34197910e-06
548,1.88540082e-06,3.44614841e-06
549,2.35420680e-06,5.35092295e-06
550,3.10187306e-06,6.42672467e-06
551,3.66420136e-06,6.28412045e-06
552,3.84313989e-06,5.06818333e-06
553,3.63662730e-06,3.17552349e-06
554,3.14527551e-06,1.20675497e-06
555,2.57698161e-06,1.95522966e-06
556,1.91755885e-06,3.11558460e-06
557,1.51826316e-06,2.89230002e-06
558,1.40321799e-06,2.32611160e-06
559,1.84930036e-06,2.21804089e-06
560,1.80660811e-06,2.08251822e-06
561,1.67209669e-06,1.96514293e-06
562,1.75827734e-06,2.00923159e-06
563,1.85589340e-06,2.18941113e-06
564,1.96874248e-06,2.46085438e-06
565,2.07336620e-06,2.67163705e-06
566,2.19035041e-06,2.76819264e-06
567,2.28724252e-06,2.62884714e-06
568,2.30401633e-06,2.07985954e-06
569,2.21414894e-06,1.11337158e-06
570,2.05314564e-06,6.65387574e-07
571,1.88803381e-06,2.68164581e-06
572,2.13278736e-06,4.73920727e-06
573,2.83339773e-06,6.17490241e-06
574,3.51821450e-06,6.50764605e-06
575,3.84531950e-06,5.66260132e-06
576,3.76853404e-06,4.00383078e-06
577,3.37378151e-06,1.88133220e-06
578,2.80553809e-06,1.35846619e-06
579,2.17830257e-06,2.94460324e-06
580,1.64663925e-06,3.10546852e-06
581,1.45062802e-06,2.52195923e-06
582,1.74527349e-06,2.24967403e-06
583,1.64908113e-06,2.16656008e-06
584,1.76960373e-06,2.00724548e-06
585,1.73626472e-06,1.99099804e-06
586,1.82976441e-06,2.13235785e-06
587,1.94037989e-06,2.34430013e-06
588,2.04998128e-06,2.61639343e-06
589,2.16599824e-06,2.77490358e-06
590,2.27864552e-06,2.74323475e-06
591,2.33118203e-06,2.35091238e-06
592,2.28836188e-06,1.56442684e-06
593,2.14627198e-06,3.30733570e-07
594,1.95864322e-06,1.93318419e-06
595,1.98392877e-06,4.10103803e-06
596,2.59444732e-06,5.85043608e-06
597,3.34679476e-06,6.63422043e-06
598,3.81479686e-06,6.16798116e-06
599,3.87791306e-06,4.67369773e-06
600,3.56889177e-06,2.63346351e-06
601,3.02598278e-06,1.02194429e-06
602,2.43622389e-06,2.58820478e-06
603,1.79313406e-06,3.23908353e-06
604,1.49088521e-06,2.79254027e-06
605,1.50603728e-06,2.29568195e-06
606,1.75197567e-06,2.23213328e-06
607,1.84875717e-06,2.05723654e-06
608,1.71279396e-06,1.97744680e-06
609,1.80310053e-06,2.07044741e-06
