[Name]
Plot Monitor 1

[Data]
"Accumulated Timestep","U-Mom Boundary Flow on INLET"
1058,6.46165000e+05
1059,6.46165375e+05
1060,6.46165750e+05
1061,6.46166188e+05
1062,6.46166562e+05
1063,6.46167000e+05
1064,6.46167375e+05
1065,6.46167812e+05
1066,6.46168188e+05
1067,6.46168625e+05
1068,6.46169000e+05
1069,6.46169438e+05
1070,6.46169875e+05
1071,6.46170250e+05
1072,6.46170688e+05
1073,6.46171125e+05
1074,6.46171562e+05
1075,6.46172000e+05
1076,6.46172375e+05
1077,6.46172812e+05
1078,6.46173250e+05
1079,6.46173688e+05
1080,6.46174125e+05
1081,6.46174562e+05
1082,6.46175000e+05
1083,6.46175500e+05
1084,6.46175938e+05
1085,6.46176375e+05
1086,6.46176812e+05
1087,6.46177250e+05
1088,6.46177750e+05
1089,6.46178188e+05
1090,6.46178625e+05
1091,6.46179125e+05
1092,6.46179562e+05
1093,6.46180062e+05
1094,6.46180500e+05
1095,6.46181000e+05
1096,6.46181438e+05
1097,6.46181938e+05
1098,6.46182438e+05
1099,6.46182875e+05
1100,6.46183375e+05
1101,6.46183875e+05
1102,6.46184312e+05
1103,6.46184812e+05
1104,6.46185312e+05
1105,6.46185812e+05
1106,6.46186312e+05
1107,6.46186812e+05
1108,6.46187250e+05
1109,6.46187750e+05
1110,6.46188250e+05
1111,6.46188750e+05
1112,6.46189250e+05
1113,6.46189750e+05
1114,6.46190312e+05
1115,6.46190812e+05
1116,6.46191312e+05
1117,6.46191812e+05
1118,6.46192312e+05
1119,6.46192812e+05
1120,6.46193375e+05
1121,6.46193875e+05
1122,6.46194375e+05
1123,6.46194938e+05
1124,6.46195438e+05
1125,6.46195938e+05
1126,6.46196500e+05
1127,6.46197000e+05
1128,6.46197500e+05
1129,6.46198062e+05
1130,6.46198562e+05
1131,6.46199125e+05
1132,6.46199625e+05
1133,6.46200188e+05
1134,6.46200750e+05
1135,6.46201250e+05
1136,6.46201812e+05
1137,6.46202312e+05
1138,6.46202875e+05
1139,6.46203438e+05
1140,6.46204000e+05
1141,6.46204500e+05
1142,6.46205062e+05
1143,6.46205625e+05
1144,6.46206188e+05
1145,6.46206688e+05
1146,6.46207250e+05
1147,6.46207812e+05
1148,6.46208375e+05
1149,6.46208938e+05
1150,6.46209500e+05
1151,6.46210062e+05
1152,6.46210625e+05
1153,6.46211188e+05
1154,6.46211750e+05
1155,6.46212312e+05
1156,6.46212875e+05
1157,6.46213438e+05
1158,6.46214000e+05
1159,6.46214625e+05
1160,6.46215188e+05
1161,6.46215750e+05
1162,6.46216312e+05
1163,6.46216875e+05
1164,6.46217500e+05
1165,6.46218062e+05
1166,6.46218625e+05
1167,6.46219250e+05
1168,6.46219812e+05
1169,6.46220375e+05
1170,6.46221000e+05
1171,6.46221562e+05
1172,6.46222125e+05
1173,6.46222750e+05
1174,6.46223312e+05
1175,6.46223938e+05
1176,6.46224500e+05
1177,6.46225125e+05
1178,6.46225125e+05
1179,6.46225188e+05
1180,6.46225250e+05
1181,6.46225250e+05
1182,6.46225312e+05
1183,6.46225375e+05
1184,6.46225375e+05
1185,6.46225438e+05
1186,6.46225500e+05
1187,6.46225500e+05
1188,6.46225562e+05
1189,6.46225625e+05
1190,6.46225688e+05
1191,6.46225688e+05
1192,6.46225750e+05
1193,6.46225812e+05
1194,6.46225812e+05
1195,6.46225875e+05
1196,6.46225938e+05
1197,6.46226000e+05
1198,6.46226000e+05
1199,6.46226062e+05
1200,6.46226125e+05
1201,6.46226188e+05
1202,6.46226188e+05
1203,6.46226250e+05
1204,6.46226312e+05
1205,6.46226375e+05
1206,6.46226375e+05
1207,6.46226438e+05
1208,6.46226500e+05
1209,6.46226562e+05
1210,6.46226562e+05
1211,6.46226625e+05
1212,6.46226688e+05
1213,6.46226750e+05
1214,6.46226812e+05
1215,6.46226812e+05
1216,6.46226875e+05
1217,6.46226938e+05
1218,6.46227000e+05
1219,6.46227062e+05
1220,6.46227062e+05
1221,6.46227125e+05
1222,6.46227188e+05
1223,6.46227250e+05
1224,6.46227312e+05
1225,6.46227375e+05
1226,6.46227375e+05
1227,6.46227438e+05
1228,6.46227500e+05
1229,6.46227562e+05
